"type";"langue";"cle";"texte";"reponse_1";"reponse_2";"reponse_3";"bonne_reponse";"explication";"reaction_bonne";"reaction_moins_bonne";"titre";"etiquette"
"meta";"";"orienter-vers-pharmacien";"1";"";"";"";"";"";"";"";"";""
"cours";"fr";"";"12 minutes";"";"";"";"";"Un entraînement pour accueillir une question précise sans répondre à la place du pharmacien.";"";"";"Orienter vers le pharmacien avec tact";""
"scene";"fr";"";"Au comptoir, un client vous demande s’il peut mélanger deux produits. La question est précise et appelle l’avis du pharmacien.";"";"";"";"";"Accueillez la question, ne répondez pas vous-même et présentez le pharmacien en expliquant la prochaine étape.";"";"";"Client fictif · Casablanca";"CM"
"objectif";"fr";"accueillir";"Montrez que vous avez entendu la demande et remerciez la personne de l’avoir posée.";"";"";"";"";"";"";"";"Accueillir la question";""
"objectif";"fr";"orienter";"Pour une question précise sur deux produits, ne donnez pas votre propre réponse au comptoir.";"";"";"";"";"";"";"";"Ne pas répondre soi-même";""
"objectif";"fr";"presenter";"Présentez le pharmacien chaleureusement et dites simplement ce qui va se passer maintenant.";"";"";"";"";"";"";"";"Présenter la suite";""
"dialogue";"fr";"";"Bonjour, j’ai une question précise : est-ce que je peux mélanger ces deux produits ?";"Bonjour, merci de me poser la question. Je vais vous orienter vers le pharmacien pour qu’il vous réponde.";"Je pense que oui, mais je préfère ne pas m’avancer.";"Vous pouvez sûrement les mélanger si vous les prenez à des moments différents.";"1";"Vous accueillez la question et vous annoncez tout de suite une orientation vers le pharmacien.";"Merci, je voulais être sûr de demander à la bonne personne.";"D’accord, mais je ne sais pas si ma question est vraiment importante.";"";""
"dialogue";"fr";"";"Je peux vous montrer les deux boîtes. Vous pourriez me dire directement ce que vous en pensez ?";"Je préfère que le pharmacien vérifie votre question précise plutôt que de vous répondre moi-même.";"Je peux regarder les boîtes et vous dire ce qui me semble logique.";"Si vous n’avez jamais eu de problème avec ces produits, cela devrait aller.";"1";"Vous gardez une limite professionnelle claire sans laisser la personne seule avec sa question.";"Très bien, je préfère avoir une réponse vérifiée.";"Je comprends, mais j’espérais gagner un peu de temps.";"";""
"dialogue";"fr";"";"D’accord. Comment cela va se passer maintenant ?";"Je vais vous présenter au pharmacien. Il va regarder votre question avec vous et vous expliquer la suite.";"Attendez ici, quelqu’un finira bien par venir vous répondre.";"Le pharmacien est occupé, revenez un autre jour si vous voulez une réponse.";"1";"Vous présentez le pharmacien avec chaleur et vous rendez la prochaine étape concrète.";"Merci, c’est rassurant de savoir ce qui va se passer.";"Je vais attendre, mais je ne sais toujours pas à qui parler.";"";""
"question";"fr";"accueil-question";"Quelle première phrase montre que vous avez entendu la question ?";"Merci de me poser la question, je vais vous orienter vers le pharmacien.";"Ce n’est probablement rien, ne vous inquiétez pas.";"Je ne sais pas, demandez à quelqu’un d’autre.";"1";"Cette phrase reconnaît la demande et prépare une orientation claire, sans minimiser ni abandonner la personne.";"";"";"Reconnaître la demande";"Accueil"
"question";"fr";"limite-professionnelle";"Que faites-vous face à une question précise sur deux produits ?";"Je donne mon avis si les produits me paraissent familiers.";"Je demande au pharmacien de vérifier la question avec la personne.";"Je suggère d’essayer et de voir ce qui se passe.";"2";"Vous ne répondez pas vous-même : vous orientez la personne vers le pharmacien, qui pourra traiter sa question.";"";"";"Ne pas répondre à la place";"Positionnement"
"question";"fr";"prochaine-etape";"Quelle formulation explique le mieux la suite ?";"Attendez là, le pharmacien viendra quand il pourra.";"Revenez plus tard, ce sera plus simple.";"Je vais vous présenter au pharmacien, qui va regarder votre question avec vous.";"3";"Présenter le pharmacien et expliquer la prochaine étape donne un repère simple et montre que la personne est accompagnée.";"";"";"Dire ce qui va se passer";"Suite"
